,text,tweet_coord,tweet_created,tweet_location,negative,positive,neutral,compound,lemmatized,clean,blob_polarity,blob_subjectivity
10, flying glamco in a few weeks How long do we have to be at airport for before departure for both international and domestic Ta,,2015-02-24 11:18:08 -0800,"Kilmarnock, now Edinburgh. ",0.0,0.0,1.0,0.0,"['flying', 'glamco', 'week', 'long', 'airport', 'departure', 'international', 'domestic', 'ta']",flying glamco week long airport departure international domestic ta,-0.016666666666666666,0.16666666666666666
11, Thanks It is on the same ticket,,2015-02-24 11:10:47 -0800,"Portland, OR",0.0,0.326,0.674,0.4404,"['thanks', 'ticket']",thanks ticket,0.2,0.2
12, why not Is it a law or a policy,,2015-02-24 11:09:04 -0800,Harrisburg,0.0,0.0,1.0,0.0,"['law', 'policy']",law policy,0.0,0.0
13, is the worst Nonrefundable First class tickets Oh because when you select GlobalFC their system auto selects economy wupgrade,,2015-02-24 11:08:15 -0800,Las Vegas ,0.186,0.0,0.814,-0.6249,"['worst', 'nonrefundable', 'first', 'class', 'ticket', 'oh', 'select', 'globalfc', 'system', 'auto', 'selects', 'economy', 'wupgrade']",worst nonrefundable first class ticket oh select globalfc system auto selects economy wupgrade,-0.375,0.6666666666666666
14,  So I can buy tix 3 days before flight but cant transfer the tix  Flawed security logic Flawed customer service,,2015-02-24 11:07:12 -0800,,0.0,0.154,0.846,0.4767,"['buy', 'tix', 'day', 'cant', 'transfer', 'tix', 'flawed', 'security', 'logic', 'flawed', 'customer', 'service']",buy tix day cant transfer tix flawed security logic flawed customer service,-0.5,0.5
15, I did start a claim but 810 weeks is unrealistic am I really supposed to go that long with out a car seat for my childRidiculous,,2015-02-24 11:05:21 -0800,,0.0,0.0,1.0,0.0,"['start', 'claim', 'week', 'unrealistic', 'really', 'supposed', 'go', 'long', 'car', 'seat', 'childridiculous']",start claim week unrealistic really supposed go long car seat childridiculous,-0.11666666666666665,0.5333333333333333
16, follow me please this airline is beautifull ,,2015-02-24 11:05:11 -0800,"Brooklin, New York",0.0,0.277,0.723,0.3182,"['follow', 'please', 'beautifull']",follow please beautifull,0.0,0.0
17, no I dont but Im sure United have my info on its system,,2015-02-24 11:03:39 -0800,USA,0.241,0.221,0.538,0.1672,"['dont', 'sure', 'info', 'system']",dont sure info system,0.5,0.8888888888888888
18, if the car seat is lost  should just reimburse me for a new one this is not a pair of shoes its a necessity for my child,,2015-02-24 11:03:37 -0800,,0.091,0.0,0.909,-0.3182,"['car', 'seat', 'lost', 'reimburse', 'new', 'one', 'pair', 'shoe', 'necessity', 'child']",car seat lost reimburse new one pair shoe necessity child,0.13636363636363635,0.45454545454545453
19, Just submitted my response on the link you sent,,2015-02-24 11:03:26 -0800,,0.0,0.0,1.0,0.0,"['submitted', 'response', 'link', 'sent']",submitted response link sent,0.0,0.0
20, yes David Allan send an email with this number KMM24999563V99860L0KM and case8719519,,2015-02-24 10:57:49 -0800,USA,0.0,0.29,0.71,0.4723,"['yes', 'david', 'allan', 'send', 'email', 'number', 'kmmvlkm', 'case']",yes david allan send email number kmmvlkm case,0.0,0.0
21,  that totally sucks my cousin worked at PHL said ,,2015-02-24 10:54:48 -0800,,0.259,0.0,0.741,-0.4201,"['totally', 'suck', 'cousin', 'worked', 'phl', 'said']",totally suck cousin worked phl said,0.0,0.75
22, just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase Let her know she wasappreciated,"[39.8621249, -104.6740909]",2015-02-24 10:50:37 -0800,New Jersey/Maryland,0.0,0.139,0.861,0.5719,"['wanted', 'let', 'know', 'wonderful', 'rosetta', 'gate', 'agent', 'working', 'dan', 'ase', 'let', 'know', 'wasappreciated']",wanted let know wonderful rosetta gate agent working dan ase let know wasappreciated,1.0,1.0
23, yes a paper voucher that I got on January 26th 2015,,2015-02-24 10:49:25 -0800,USA,0.0,0.252,0.748,0.4019,"['yes', 'paper', 'voucher', 'got', 'january', 'th']",yes paper voucher got january th,0.0,0.0
24, beginning of Feb I called United they said they would send another voucher by mail Never got anything tiredofwaiting,,2015-02-24 10:48:28 -0800,USA,0.0,0.141,0.859,0.4215,"['beginning', 'feb', 'called', 'said', 'would', 'send', 'another', 'voucher', 'mail', 'never', 'got', 'anything', 'tiredofwaiting']",beginning feb called said would send another voucher mail never got anything tiredofwaiting,0.0,0.0
25, the internet is a great thing  I am emailing executives in your company maybe they will respond to me in a timely manner,,2015-02-24 10:47:29 -0800,"Parkersburg, WV",0.0,0.177,0.823,0.6249,"['internet', 'great', 'thing', 'emailing', 'executive', 'company', 'maybe', 'respond', 'timely', 'manner']",internet great thing emailing executive company maybe respond timely manner,0.8,0.75
26, Do I need to use a Chase United Club pass for my 8yr old son or can he come in with me on my pass,,2015-02-24 10:44:44 -0800,South Carolina,0.0,0.113,0.887,0.4215,"['need', 'use', 'chase', 'club', 'pas', 'yr', 'old', 'son', 'come', 'pas']",need use chase club pas yr old son come pas,0.1,0.2
27, and what am I suppose to do with that number,,2015-02-24 10:39:11 -0800,,0.0,0.14,0.86,0.0772,"['suppose', 'number']",suppose number,0.0,0.0
28, thats weak See ya  Hey  ,,2015-02-24 10:38:58 -0800,NYC,0.42,0.0,0.58,-0.4404,"['thats', 'weak', 'see', 'ya', 'hey']",thats weak see ya hey,-0.375,0.625
29, I flew back w other company since United didnt have an earlier flight,,2015-02-24 10:38:17 -0800,USA,0.0,0.219,0.781,0.4215,"['flew', 'back', 'w', 'company', 'since', 'didnt', 'earlier']",flew back w company since didnt earlier,0.0,0.25
30, I lost a voucher that I was given in Miami aeroport on jan 26 I did not use it,,2015-02-24 10:37:41 -0800,USA,0.141,0.0,0.859,-0.3182,"['lost', 'voucher', 'given', 'miami', 'aeroport', 'jan', 'use']",lost voucher given miami aeroport jan use,0.0,0.0
31, I am trying to book awards for September and need flights on  but they will not show even w many award seats availab,,2015-02-24 10:36:35 -0800,,0.0,0.262,0.738,0.775,"['trying', 'book', 'award', 'september', 'need', 'flight', 'show', 'even', 'w', 'many', 'award', 'seat', 'availab']",trying book award september need flight show even w many award seat availab,0.5,0.5
32, I sure did   I had to drive a total of 3 hours to get my own bag  Id like to explain that debacle but no one wants to talk to me,,2015-02-24 10:35:42 -0800,"Parkersburg, WV",0.093,0.113,0.795,-0.1027,"['sure', 'drive', 'total', 'hour', 'get', 'bag', 'id', 'like', 'explain', 'debacle', 'one', 'want', 'talk']",sure drive total hour get bag id like explain debacle one want talk,0.25,0.8194444444444444
33,  Gee thats like almost caring about ppl more than   Think Im more int in having a trusted adult w daughter ,,2015-02-24 10:33:54 -0800,,0.0,0.362,0.638,0.818,"['gee', 'thats', 'like', 'almost', 'caring', 'ppl', 'think', 'int', 'trusted', 'adult', 'w', 'daughter']",gee thats like almost caring ppl think int trusted adult w daughter,0.1,0.3
34, See We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr  After we boarded there was a defibrillator issue,,2015-02-24 10:30:53 -0800,,0.0,0.0,1.0,0.0,"['see', 'told', 'repeatedly', 'pilot', 'late', 'kept', 'getting', 'late', 'flightr', 'boarded', 'defibrillator', 'issue']",see told repeatedly pilot late kept getting late flightr boarded defibrillator issue,-0.3,0.6
35, why no preferred security line anymore My TSA precheck didnt pull on my  partner flight Platinum spoiled,,2015-02-24 10:30:00 -0800,Tampa,0.112,0.122,0.765,0.0516,"['preferred', 'security', 'line', 'anymore', 'tsa', 'precheck', 'didnt', 'pull', 'partner', 'platinum', 'spoiled']",preferred security line anymore tsa precheck didnt pull partner platinum spoiled,0.0,0.0
36, Newarkliberty Airport need to indicate different gates for terminals AampC Flyingainteasy,,2015-02-24 10:25:12 -0800,"Washington, DC",0.0,0.0,1.0,0.0,"['newarkliberty', 'airport', 'need', 'indicate', 'different', 'gate', 'terminal', 'aampc', 'flyingainteasy']",newarkliberty airport need indicate different gate terminal aampc flyingainteasy,0.0,0.6
37, yes please I am newly married and trying to update my last name on a preexisting international flight It seems so easy but,,2015-02-24 10:19:32 -0800,,0.0,0.246,0.754,0.5955,"['yes', 'please', 'newly', 'married', 'trying', 'update', 'last', 'name', 'preexisting', 'international', 'seems', 'easy']",yes please newly married trying update last name preexisting international seems easy,0.17083333333333334,0.2875
38, How does United refuse to reissue a 400 lost voucher when their plane didnt take off due to mechanics badcustomerservice,,2015-02-24 10:19:22 -0800,USA,0.193,0.12,0.687,-0.1779,"['refuse', 'reissue', 'lost', 'voucher', 'plane', 'didnt', 'take', 'due', 'mechanic', 'badcustomerservice']",refuse reissue lost voucher plane didnt take due mechanic badcustomerservice,-0.125,0.375
39, also during the run I was instructed to do I shattered my computer ,,2015-02-24 10:18:07 -0800,DC,0.237,0.0,0.763,-0.4767,"['also', 'run', 'instructed', 'shattered', 'computer']",also run instructed shattered computer,0.0,0.0
40, yes weve been with the agents for the last 50 minutes One of the agents have been very rude but thankfully Ladan has been nice,,2015-02-24 10:16:16 -0800,DC,0.065,0.294,0.64,0.8176,"['yes', 'weve', 'agent', 'last', 'minute', 'one', 'agent', 'rude', 'thankfully', 'ladan', 'nice']",yes weve agent last minute one agent rude thankfully ladan nice,0.09999999999999999,0.5555555555555555
41, thats right with an overnight Miami,,2015-02-24 10:14:19 -0800,btv,0.0,0.0,1.0,0.0,"['thats', 'right', 'overnight', 'miami']",thats right overnight miami,0.2857142857142857,0.5357142857142857
42, Have clients with an 11 hr layover at IAH during the day Will they have to claim amp recheck luggage Or will it be taken care of,,2015-02-24 10:14:11 -0800,"Portland, OR",0.0,0.11,0.89,0.4939,"['client', 'hr', 'layover', 'iah', 'day', 'claim', 'recheck', 'luggage', 'taken', 'care']",client hr layover iah day claim recheck luggage taken care,0.0,0.0
43, I am trying to find out if the loaner seat is new or used a used car seat is illegal according to safety regulations,,2015-02-24 10:14:02 -0800,,0.136,0.106,0.758,-0.2023,"['trying', 'find', 'loaner', 'seat', 'new', 'used', 'used', 'car', 'seat', 'illegal', 'according', 'safety', 'regulation']",trying find loaner seat new used used car seat illegal according safety regulation,-0.18181818181818182,0.4772727272727273
44, i DMed you the details,,2015-02-24 10:12:21 -0800,NYC,0.0,0.0,1.0,0.0,"['dmed', 'detail']",dmed detail,0.0,0.0
45, iah to charlotte Baggage claim rep latrice h customerservice non existent Ignored customer then inappropriately touched customer,,2015-02-24 10:11:38 -0800,"Houston, TX",0.133,0.0,0.867,-0.3182,"['iah', 'charlotte', 'baggage', 'claim', 'rep', 'latrice', 'h', 'customerservice', 'non', 'existent', 'ignored', 'customer', 'inappropriately', 'touched', 'customer']",iah charlotte baggage claim rep latrice h customerservice non existent ignored customer inappropriately touched customer,0.0,0.0
46, Kewl Will also let them know the overhead bin over my row was Inop I love a good abbreve,,2015-02-24 10:09:10 -0800,Los Angeles,0.0,0.402,0.598,0.8555,"['kewl', 'also', 'let', 'know', 'overhead', 'bin', 'row', 'inop', 'love', 'good', 'abbreve']",kewl also let know overhead bin row inop love good abbreve,0.6,0.6000000000000001
47,  thanks for your helpgot me what I need but its an issue with austrian  I guess I sit awhile longer,,2015-02-24 10:06:47 -0800,The Center of My Universe,0.0,0.109,0.891,0.2382,"['thanks', 'helpgot', 'need', 'issue', 'austrian', 'guess', 'sit', 'awhile', 'longer']",thanks helpgot need issue austrian guess sit awhile longer,0.2,0.2
48,   I would have loved to respond to your website until I saw the really long form In business the new seats are bad,,2015-02-24 10:06:13 -0800,California/Nevada,0.133,0.148,0.72,0.1027,"['would', 'loved', 'respond', 'website', 'saw', 'really', 'long', 'form', 'business', 'new', 'seat', 'bad']",would loved respond website saw really long form business new seat bad,0.021590909090909105,0.5803030303030303
49, A refund and flight vouchers or another flight on a different airline at your expense for today 8 hour drive is very inconvenient,,2015-02-24 10:05:45 -0800,"Kansas City, MO",0.124,0.0,0.876,-0.4005,"['refund', 'voucher', 'another', 'different', 'expense', 'today', 'hour', 'drive', 'inconvenient']",refund voucher another different expense today hour drive inconvenient,-0.3,0.8
50, then why have I not received my call back its been 3 daysits an infant car seat how am I supposed to go anywhere with my child,,2015-02-24 10:00:20 -0800,,0.0,0.0,1.0,0.0,"['received', 'call', 'back', 'daysits', 'infant', 'car', 'seat', 'supposed', 'go', 'anywhere', 'child']",received call back daysits infant car seat supposed go anywhere child,0.0,0.0
51, thanks again for your concern I will contact customer care upon our return from Australia,,2015-02-24 10:00:19 -0800,,0.0,0.337,0.663,0.7269,"['thanks', 'concern', 'contact', 'customer', 'care', 'upon', 'return', 'australia']",thanks concern contact customer care upon return australia,0.2,0.2
52, well sitting on the ground on time but waiting for a gateagain tiredofthis,,2015-02-24 09:54:12 -0800,,0.0,0.124,0.876,0.1406,"['well', 'sitting', 'ground', 'time', 'waiting', 'gateagain', 'tiredofthis']",well sitting ground time waiting gateagain tiredofthis,0.0,0.0
53, Airport snow removal method 22 Keep up the good work folks this is where Cessnas become 747s ,,2015-02-24 09:50:55 -0800,"Astoria, OR",0.0,0.153,0.847,0.4404,"['airport', 'snow', 'removal', 'method', 'keep', 'good', 'work', 'folk', 'cessnas', 'become']",airport snow removal method keep good work folk cessnas become,0.7,0.6000000000000001
54, No I need you guys to not over book planes Its not a concern Ill just travel with someone else moving forward,,2015-02-24 09:44:10 -0800,"Colorado Springs, Colorado",0.098,0.103,0.799,0.0341,"['need', 'guy', 'book', 'plane', 'concern', 'ill', 'travel', 'someone', 'else', 'moving', 'forward']",need guy book plane concern ill travel someone else moving forward,-0.5,1.0
55, A measly 50 ecertificate is not how you appreciate loyal customers after they wait 3hrs on the tarmac during UA1116 unacceptable,,2015-02-24 09:42:45 -0800,San Francisco Bay Area,0.207,0.122,0.67,-0.2865,"['measly', 'ecertificate', 'appreciate', 'loyal', 'customer', 'wait', 'hr', 'tarmac', 'unacceptable']",measly ecertificate appreciate loyal customer wait hr tarmac unacceptable,-0.11666666666666672,0.8500000000000001
56, When will email addressusername signon be available Its been a while,,2015-02-24 09:41:46 -0800,945XX to 111XX,0.0,0.0,1.0,0.0,"['email', 'addressusername', 'signon', 'available']",email addressusername signon available,0.4,0.4
57, Thank you for that Am I able to claim any interim expenses or is the cost of the stuff up on me,,2015-02-24 09:39:15 -0800,,0.0,0.111,0.889,0.3612,"['thank', 'able', 'claim', 'interim', 'expense', 'cost', 'stuff']",thank able claim interim expense cost stuff,0.5,0.625
58, rude rude,,2015-02-24 09:37:38 -0800,"Austin, TX",1.0,0.0,0.0,-0.7184,"['rude', 'rude']",rude rude,-0.3,0.6
59,  Why cant I get a boarding pass for my Austrian Airlines codeshare flight Rebook incls a 6 hour layover amp I am stuck outside sec,,2015-02-24 09:36:12 -0800,The Center of My Universe,0.095,0.0,0.905,-0.25,"['cant', 'get', 'boarding', 'pas', 'austrian', 'codeshare', 'rebook', 'incls', 'hour', 'layover', 'stuck', 'outside', 'sec']",cant get boarding pas austrian codeshare rebook incls hour layover stuck outside sec,-0.05,0.325
60, I received on other flights united  truly breaks guitars unitedbreaksguitars wantmymoneyback,,2015-02-24 09:34:00 -0800,"Jerusalem, Israel",0.0,0.416,0.584,0.6908,"['received', 'flight', 'truly', 'break', 'guitar', 'unitedbreaksguitars', 'wantmymoneyback']",received flight truly break guitar unitedbreaksguitars wantmymoneyback,0.0,0.0
61, just flew to TelAviv paid 100 from a third suitcase which didnt even make it on the plane Besides for the impolite service,,2015-02-24 09:32:46 -0800,"Jerusalem, Israel",0.11,0.0,0.89,-0.3818,"['flew', 'telaviv', 'paid', 'third', 'suitcase', 'didnt', 'even', 'make', 'plane', 'besides', 'impolite', 'service']",flew telaviv paid third suitcase didnt even make plane besides impolite service,0.0,0.0
62,  My bag is still in Colo Springs I am disabled and have to search an unfamiliar airport and look for my bag Not a good outcome,,2015-02-24 09:32:43 -0800,"Jacksonville, FL",0.095,0.0,0.905,-0.3412,"['bag', 'still', 'colo', 'spring', 'disabled', 'search', 'unfamiliar', 'airport', 'look', 'bag', 'good', 'outcome']",bag still colo spring disabled search unfamiliar airport look bag good outcome,0.24999999999999997,0.45000000000000007
63, Shame that theres no flex to tickets transfer rules  Even calling from Neurosurgery ICU isnt enough,,2015-02-24 09:32:39 -0800,,0.275,0.0,0.725,-0.6486,"['shame', 'there', 'flex', 'ticket', 'transfer', 'rule', 'even', 'calling', 'neurosurgery', 'icu', 'isnt', 'enough']",shame there flex ticket transfer rule even calling neurosurgery icu isnt enough,0.0,0.5
64, No Denver said they dont handle baggage that made it to Colo Springs  They gave me an 800 number to call No help there either,,2015-02-24 09:24:12 -0800,"Jacksonville, FL",0.15,0.136,0.714,-0.1027,"['denver', 'said', 'dont', 'handle', 'baggage', 'made', 'colo', 'spring', 'gave', 'number', 'call', 'help', 'either']",denver said dont handle baggage made colo spring gave number call help either,0.0,0.0
65, you guys need some serious training in customer service Too many better options to put up with the way you guys handle ur mistakes,,2015-02-24 09:22:16 -0800,,0.137,0.105,0.758,0.0258,"['guy', 'need', 'serious', 'training', 'customer', 'service', 'many', 'better', 'option', 'put', 'way', 'guy', 'handle', 'ur', 'mistake']",guy need serious training customer service many better option put way guy handle ur mistake,0.22222222222222224,0.5555555555555555
66, 6533 ORD to DCA,,2015-02-24 09:21:51 -0800,,0.0,0.0,1.0,0.0,"['ord', 'dca']",ord dca,0.0,0.0
67, once he found out we had a problem he avoided me like the plague Was told we cant find a supervisor,,2015-02-24 09:19:38 -0800,,0.216,0.106,0.678,-0.3818,"['found', 'problem', 'avoided', 'like', 'plague', 'told', 'cant', 'find', 'supervisor']",found problem avoided like plague told cant find supervisor,0.0,0.0
68, ZCC82U Cancelled Flight flight 16h in advance Need connect flight reschedule so the link isnt helping Help Gf waited months to see me,,2015-02-24 09:19:25 -0800,,0.235,0.0,0.765,-0.6305,"['zccu', 'cancelled', 'h', 'advance', 'need', 'connect', 'reschedule', 'link', 'isnt', 'helping', 'help', 'gf', 'waited', 'month', 'see']",zccu cancelled h advance need connect reschedule link isnt helping help gf waited month see,0.0,0.0
69, I will not be flying you again,,2015-02-24 09:19:24 -0800,,0.0,0.0,1.0,0.0,['flying'],flying,0.0,0.0
70, in addition my first flight was delayed an hour and Im arriving at my destination 8 hrs Late Flight,,2015-02-24 09:18:49 -0800,,0.101,0.0,0.899,-0.2263,"['addition', 'first', 'delayed', 'hour', 'arriving', 'destination', 'hr', 'late']",addition first delayed hour arriving destination hr late,-0.024999999999999994,0.4666666666666667
71, Cancelled Flighted our flight didnt rebook us on added flight now have to drive from a Denver to KCthanks,,2015-02-24 09:17:43 -0800,"Kansas City, MO",0.105,0.0,0.895,-0.25,"['cancelled', 'flighted', 'didnt', 'rebook', 'u', 'added', 'drive', 'denver', 'kcthanks']",cancelled flighted didnt rebook u added drive denver kcthanks,0.0,0.0
72, your announcement for pre boarding only addresses mobility My disability requires me to travel with a lot of stuff Do I preboard,,2015-02-24 09:17:05 -0800,,0.0,0.0,1.0,0.0,"['announcement', 'pre', 'boarding', 'address', 'mobility', 'disability', 'requires', 'travel', 'lot', 'stuff', 'preboard']",announcement pre boarding address mobility disability requires travel lot stuff preboard,0.0,0.0
73, I flew United last month and the experience was AWESOME,,2015-02-24 09:16:31 -0800,,0.0,0.522,0.478,0.824,"['flew', 'last', 'month', 'experience', 'awesome']",flew last month experience awesome,0.5,0.5333333333333333
74, our travel booked thru United group dept Okc ticket agent less than willing to help with our connection in LAX,,2015-02-24 09:15:56 -0800,,0.0,0.234,0.766,0.6705,"['travel', 'booked', 'thru', 'group', 'dept', 'okc', 'ticket', 'agent', 'le', 'willing', 'help', 'connection', 'lax']",travel booked thru group dept okc ticket agent le willing help connection lax,0.25,0.75
75, v upset with your disability  services When I told one of your employees I was carrying medical equipment she was very rude,,2015-02-24 09:15:11 -0800,,0.257,0.0,0.743,-0.7089,"['v', 'upset', 'disability', 'service', 'told', 'one', 'employee', 'carrying', 'medical', 'equipment', 'rude']",v upset disability service told one employee carrying medical equipment rude,-0.15,0.3
76, thnx for quick reply but dont think you can assist Our intl grp will be put to considerable inconvenience today,,2015-02-24 09:14:01 -0800,,0.146,0.0,0.854,-0.5023,"['thnx', 'quick', 'reply', 'dont', 'think', 'assist', 'intl', 'grp', 'put', 'considerable', 'inconvenience', 'today']",thnx quick reply dont think assist intl grp put considerable inconvenience today,0.21666666666666667,0.475
77, wont transfer flight ticket to accompany an 11 yr old whos active military mom had to have emergency brain surgery WOW,,2015-02-24 09:09:00 -0800,Harrisburg,0.093,0.26,0.647,0.6841,"['wont', 'transfer', 'ticket', 'accompany', 'yr', 'old', 'who', 'active', 'military', 'mom', 'emergency', 'brain', 'surgery', 'wow']",wont transfer ticket accompany yr old who active military mom emergency brain surgery wow,-0.008333333333333331,0.475
78,  7 WEEKS Late FlightR AND I STILL HAVE NOT RECEIVED MY MILES FROM THE MileagePlus Gift Card 150 STARBUCKS CARD I HANDED OVER,,2015-02-24 09:08:44 -0800,Wall Street • Manhattan • NYC ,0.0,0.132,0.868,0.4404,"['week', 'late', 'flightr', 'still', 'received', 'mile', 'mileageplus', 'gift', 'card', 'starbucks', 'card', 'handed']",week late flightr still received mile mileageplus gift card starbucks card handed,-0.3,0.6
79, as a 1k Im always hoping for improvement,,2015-02-24 09:08:27 -0800,,0.0,0.537,0.463,0.7003,"['k', 'always', 'hoping', 'improvement']",k always hoping improvement,0.0,0.0
80, not yet I complained about the guy who checked my luggage in as he was throwing the bags around Unfortunate coincidence I hope,"[52.59657643, -2.19877833]",2015-02-24 09:04:00 -0800,,0.115,0.197,0.688,0.2865,"['yet', 'complained', 'guy', 'checked', 'luggage', 'throwing', 'bag', 'around', 'unfortunate', 'coincidence', 'hope']",yet complained guy checked luggage throwing bag around unfortunate coincidence hope,-0.4,0.6
81, OKC ticket agent Roger McLarrensp LESS than helpful with our Intl group travel problems Cant find a supervisor for help,,2015-02-24 08:54:47 -0800,,0.11,0.24,0.65,0.497,"['okc', 'ticket', 'agent', 'roger', 'mclarrensp', 'le', 'helpful', 'intl', 'group', 'travel', 'problem', 'cant', 'find', 'supervisor', 'help']",okc ticket agent roger mclarrensp le helpful intl group travel problem cant find supervisor help,0.0,0.0
82, mobile apps need construction from the ground up for each OS category  Its expensive to get right ,,2015-02-24 08:54:34 -0800,,0.0,0.0,1.0,0.0,"['mobile', 'apps', 'need', 'construction', 'ground', 'o', 'category', 'expensive', 'get', 'right']",mobile apps need construction ground o category expensive get right,-0.10714285714285715,0.6178571428571429
83, another fail for the United ticket agents in OKC LESS than helpful and could care less about our problems American here we come,,2015-02-24 08:50:39 -0800,,0.179,0.278,0.543,0.5076,"['another', 'fail', 'ticket', 'agent', 'okc', 'le', 'helpful', 'could', 'care', 'le', 'problem', 'american', 'come']",another fail ticket agent okc le helpful could care le problem american come,-0.25,0.14999999999999997
84, 441 which also had 1 working WC in coach Good thing this bird landed ahead of schedule I have to use the WC stat,,2015-02-24 08:49:03 -0800,Austin · LA · London · NY · SF,0.0,0.121,0.879,0.4404,"['also', 'working', 'wc', 'coach', 'good', 'thing', 'bird', 'landed', 'ahead', 'schedule', 'use', 'wc', 'stat']",also working wc coach good thing bird landed ahead schedule use wc stat,0.7,0.6000000000000001
85, the os isnt controlled by me but rather    App is new,,2015-02-24 08:47:56 -0800,,0.0,0.0,1.0,0.0,"['o', 'isnt', 'controlled', 'rather', 'app', 'new']",o isnt controlled rather app new,0.13636363636363635,0.45454545454545453
86, I just sent an email to Customer Care telling them I may have to break up with you  I sincerely hope they can help me,,2015-02-24 08:42:11 -0800,,0.0,0.398,0.602,0.8979,"['sent', 'email', 'customer', 'care', 'telling', 'may', 'break', 'sincerely', 'hope', 'help']",sent email customer care telling may break sincerely hope help,0.5,0.5
87, silly Im flying delta today Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk,,2015-02-24 08:36:28 -0800,Louisville,0.17,0.148,0.682,-0.1531,"['silly', 'flying', 'delta', 'today', 'club', 'staff', 'attendant', 'surly', 'unhelpful', 'always', 'seem', 'bothered', 'pesky', 'folk']",silly flying delta today club staff attendant surly unhelpful always seem bothered pesky folk,-0.15,0.6375
88, What is your phone number I cant find who to call about a flight reservation,,2015-02-24 08:34:05 -0800,"Sterling Heights, MI",0.0,0.098,0.902,0.0772,"['phone', 'number', 'cant', 'find', 'call', 'reservation']",phone number cant find call reservation,0.0,0.0
89, well you cant fix me missing my buddies 30th bday because of negligence but you can attempt to make up for it,,2015-02-24 08:33:43 -0800,,0.0,0.13,0.87,0.2486,"['well', 'cant', 'fix', 'missing', 'buddy', 'th', 'bday', 'negligence', 'attempt', 'make']",well cant fix missing buddy th bday negligence attempt make,-0.2,0.05
90, why am I to believe they will help when customer service couldnt Like I said I want a number to someone who can fix what you did,,2015-02-24 08:33:01 -0800,,0.127,0.152,0.722,0.17,"['believe', 'help', 'customer', 'service', 'couldnt', 'like', 'said', 'want', 'number', 'someone', 'fix']",believe help customer service couldnt like said want number someone fix,0.0,0.0
