,Unnamed: 0,text,tweet_coord,tweet_created,tweet_location,negative,positive,neutral,compound,lemmatized,clean,blob_polarity,blob_subjectivity,keywords
90,90, why am I to believe they will help when customer service couldnt Like I said I want a number to someone who can fix what you did,,2015-02-24 08:33:01 -0800,,0.127,0.152,0.722,0.17,"['believe', 'help', 'customer', 'service', 'couldnt', 'like', 'said', 'want', 'number', 'someone', 'fix']",believe help customer service couldnt like said want number someone fix,0.0,0.0, staff
91,91, they helped me at the baggage service desk  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR  12,,2015-02-24 08:31:20 -0800,,0.0,0.0,1.0,0.0,"['helped', 'baggage', 'service', 'desk', 'said', 'bc', 'tsa', 'screening', 'fll', 'bag', 'made', 'bag', 'ewr']",helped baggage service desk said bc tsa screening fll bag made bag ewr,0.0,0.0, baggage
95,95, thx for update,,2015-02-24 08:27:37 -0800,searching for coffee,0.0,0.556,0.444,0.3612,"['thx', 'update']",thx update,0.0,0.0, compliment
96,96, thank you ,,2015-02-24 08:26:30 -0800,"Chicago, IL, USA",0.0,0.7140000000000001,0.28600000000000003,0.3612,['thank'],thank,0.0,0.0, compliment
98,98, Had to explain to a very over eager flight attendant trying to ask about my vision that my  was not a guide dog,,2015-02-24 08:22:52 -0800,,0.0,0.201,0.799,0.5829,"['explain', 'eager', 'attendant', 'trying', 'ask', 'vision', 'guide', 'dog']",explain eager attendant trying ask vision guide dog,0.2,0.4, staff
99,99, whats the point of asking for details about a servicedog when you book if your flight crew doesnt read them Continued,,2015-02-24 08:22:08 -0800,,0.0,0.0,1.0,0.0,"['whats', 'point', 'asking', 'detail', 'servicedog', 'book', 'crew', 'doesnt', 'read', 'continued']",whats point asking detail servicedog book crew doesnt read continued,0.0,0.0, staff
100,100, I tried but no one was available in bogota and everyone was rude in Houston I was stuck for 35 hours because of you guys,,2015-02-24 08:10:10 -0800,,0.317,0.0,0.6829999999999999,-0.8519,"['tried', 'one', 'available', 'bogota', 'everyone', 'rude', 'houston', 'stuck', 'hour', 'guy']",tried one available bogota everyone rude houston stuck hour guy,0.05000000000000002,0.5, delay
101,101, worst2unitedflightsever UA 236 LAS to IAD 224 mechanical problems again  took off  had to land for fix  delayed again wtfodds,,2015-02-24 08:04:41 -0800,,0.204,0.0,0.7959999999999999,-0.5574,"['worstunitedflightsever', 'la', 'iad', 'mechanical', 'problem', 'took', 'land', 'fix', 'delayed', 'wtfodds']",worstunitedflightsever la iad mechanical problem took land fix delayed wtfodds,0.0,0.0, delay
102,102, despite my bag not making it to Newark good informative email tracking updates help,,2015-02-24 08:04:36 -0800,,0.0,0.318,0.682,0.6808,"['despite', 'bag', 'making', 'newark', 'good', 'informative', 'email', 'tracking', 'update', 'help']",despite bag making newark good informative email tracking update help,0.7,0.6000000000000001, baggage
103,103, Whats going on with UA 236  outbound flight last thurs was delayed 4hrs How long will this delay be worst2unitedflightsever,,2015-02-24 08:03:25 -0800,"Washington, D.C. Metro Area",0.201,0.0,0.799,-0.5461,"['whats', 'going', 'outbound', 'last', 'thurs', 'delayed', 'hr', 'long', 'delay', 'worstunitedflightsever']",whats going outbound last thurs delayed hr long delay worstunitedflightsever,-0.025,0.2333333333333333, delay
104,104, worst2unitedflightsever UA1429 IAD to LAS 219 mechanical problems  switched aircraft delayed 35 hours,,2015-02-24 08:01:21 -0800,,0.295,0.0,0.705,-0.5574,"['worstunitedflightsever', 'iad', 'la', 'mechanical', 'problem', 'switched', 'aircraft', 'delayed', 'hour']",worstunitedflightsever iad la mechanical problem switched aircraft delayed hour,0.0,0.0, delay
107,107, thanks for the info I already knew,,2015-02-24 07:53:02 -0800,Connecticut,0.0,0.36700000000000005,0.633,0.4404,"['thanks', 'info', 'already', 'knew']",thanks info already knew,0.2,0.2, compliment
108,108, Airline trouble this winter amp not getting good customer service contact   we negotiate resolutions for You,,2015-02-24 07:52:18 -0800,"Miami, New York, Boston",0.267,0.0,0.733,-0.6256,"['trouble', 'winter', 'getting', 'good', 'customer', 'service', 'contact', 'negotiate', 'resolution']",trouble winter getting good customer service contact negotiate resolution,0.25,0.4, staff
109,109, on 768 to Logan  boarding gong show due to lax carry on enforcement Bins full of coats  no room for bags U need a better system,,2015-02-24 07:52:03 -0800,"Seaside, California",0.081,0.107,0.812,0.1779,"['logan', 'boarding', 'gong', 'show', 'due', 'lax', 'carry', 'enforcement', 'bin', 'full', 'coat', 'room', 'bag', 'need', 'better', 'system']",logan boarding gong show due lax carry enforcement bin full coat room bag need better system,0.2416666666666667,0.475, baggage
110,110, Thank you,,2015-02-24 07:51:33 -0800,"new york, baby",0.0,0.7140000000000001,0.28600000000000003,0.3612,['thank'],thank,0.0,0.0, compliment
111,111, Blackmailed me into paying 130 extra or having my return ticket nullified in San Francisco Airport Terrible service from rep scam,,2015-02-24 07:49:10 -0800,,0.264,0.0,0.736,-0.7783,"['blackmailed', 'paying', 'extra', 'return', 'ticket', 'nullified', 'san', 'francisco', 'airport', 'terrible', 'service', 'rep', 'scam']",blackmailed paying extra return ticket nullified san francisco airport terrible service rep scam,-0.5,0.55, ticketing_billing
113,113, disappointed that u didnt honor my 100 credit given to me for ur mistakes Taking my business elsewhere  out,,2015-02-24 07:43:05 -0800,NYC,0.331,0.105,0.564,-0.6836,"['disappointed', 'didnt', 'honor', 'credit', 'given', 'ur', 'mistake', 'taking', 'business', 'elsewhere']",disappointed didnt honor credit given ur mistake taking business elsewhere,-0.75,0.75, ticketing_billing
114,114, ua1673 still waiting Supposed to depart 908,,2015-02-24 07:42:36 -0800,Midwest,0.0,0.0,1.0,0.0,"['still', 'waiting', 'supposed', 'depart']",still waiting supposed depart,0.0,0.0, delay
115,115, it was credit from my last trip that never came in the mail,,2015-02-24 07:41:00 -0800,,0.0,0.17800000000000002,0.8220000000000001,0.3818,"['credit', 'last', 'trip', 'never', 'came', 'mail']",credit last trip never came mail,0.0,0.06666666666666668, ticketing_billing
116,116, ok its now been 7 months waiting to hear from airline I gave them quite a bit more than the 30 days requested Terrible service,,2015-02-24 07:40:45 -0800,"Marlow, UK",0.12300000000000001,0.087,0.7909999999999999,-0.2263,"['ok', 'month', 'waiting', 'hear', 'gave', 'quite', 'bit', 'day', 'requested', 'terrible', 'service']",ok month waiting hear gave quite bit day requested terrible service,-0.25,0.75, delay
117,117, does this process ever end Still waiting for the reply since 2 months pathetic customerservice,,2015-02-24 07:36:54 -0800,,0.222,0.0,0.778,-0.5719,"['process', 'ever', 'end', 'still', 'waiting', 'reply', 'since', 'month', 'pathetic', 'customerservice']",process ever end still waiting reply since month pathetic customerservice,-1.0,1.0, staff delay
118,118, Whats going on with your website Im Flight Booking Problems three tickets today and Ive been booted off the system umpteen times,,2015-02-24 07:35:09 -0800,"Summit, NJ",0.114,0.0,0.8859999999999999,-0.4019,"['whats', 'going', 'website', 'booking', 'problem', 'three', 'ticket', 'today', 'ive', 'booted', 'system', 'umpteen', 'time']",whats going website booking problem three ticket today ive booted system umpteen time,0.0,0.0, ticketing_billing online
119,119, how do I get my account number if your website says email is unavailable,,2015-02-24 07:31:48 -0800,NYC,0.0,0.098,0.902,0.0772,"['get', 'account', 'number', 'website', 'say', 'email', 'unavailable']",get account number website say email unavailable,0.0,0.0, online
121,121, I received 1 bag last night I am still missing the other one,,2015-02-24 07:20:21 -0800,"Hoops City (Memphis, TN)",0.196,0.0,0.804,-0.29600000000000004,"['received', 'bag', 'last', 'night', 'still', 'missing', 'one']",received bag last night still missing one,-0.1,0.05833333333333333, baggage
123,123, Pls Help Baby Hannah get the life saving surgeries she requiresShe needs your helpPls Donate ,,2015-02-24 07:09:46 -0800,Right Now Mostly The Hospital,0.0,0.235,0.765,0.4588,"['pls', 'help', 'baby', 'hannah', 'get', 'life', 'saving', 'surgery', 'requiresshe', 'need', 'helppls', 'donate']",pls help baby hannah get life saving surgery requiresshe need helppls donate,0.0,0.0, children
125,125, 2nd flight also delayed no pilots But they boarded is so we can just sit here scheduling,,2015-02-24 07:02:12 -0800,Midwest,0.16899999999999998,0.0,0.831,-0.2617,"['nd', 'also', 'delayed', 'pilot', 'boarded', 'sit', 'scheduling']",nd also delayed pilot boarded sit scheduling,0.0,0.0, staff delay
133,133, Everyone around us is sitting with their friends and family members They booked their tickets in October and December We bought,"[29.98372726, -95.33734532]",2015-02-24 06:53:12 -0800,Seattle,0.0,0.134,0.866,0.4767,"['everyone', 'around', 'u', 'sitting', 'friend', 'family', 'member', 'booked', 'ticket', 'october', 'december', 'bought']",everyone around u sitting friend family member booked ticket october december bought,0.0,0.0, ticketing_billing
137,137, I asked a legitimate question about systemwide vs localized problems and got back an unreLate Flightd copypaste You can do better,,2015-02-24 06:43:55 -0800,Above the B/D/N/Q/R/2/3/4/5,0.11900000000000001,0.128,0.752,0.0516,"['asked', 'legitimate', 'question', 'systemwide', 'v', 'localized', 'problem', 'got', 'back', 'unrelate', 'flightd', 'copypaste', 'better']",asked legitimate question systemwide v localized problem got back unrelate flightd copypaste better,0.25,0.25, delay
145,145, so youre telling me there is no number to call after being left in an airport because of a negligent pilot and staff,,2015-02-24 06:29:54 -0800,,0.094,0.055,0.851,-0.2263,"['youre', 'telling', 'number', 'call', 'left', 'airport', 'negligent', 'pilot', 'staff']",youre telling number call left airport negligent pilot staff,0.0,0.0, staff
149,149, 25 United coupon to make up for broken entertainment system on a 9hour flight seriously Ridiculousness learncustomerservice,,2015-02-24 06:14:14 -0800,,0.294,0.23800000000000002,0.46799999999999997,-0.0772,"['coupon', 'make', 'broken', 'entertainment', 'system', 'hour', 'seriously', 'ridiculousness', 'learncustomerservice']",coupon make broken entertainment system hour seriously ridiculousness learncustomerservice,-0.3666666666666667,0.5333333333333333, staff baggage
